                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98797,                 1.9058,                0.90378,                 1.0859,                0.82151,                0.60124,                0.63691,                0.41292,                0.82264,                0.60251,                0.63152,                0.39904,                 1.2466,                 2.0917,                 1.1767,                 1.2713,             0.00052359,             0.00052359,             0.00052359
                     35,                0.96825,                 1.9222,                0.87577,                 1.0726,                0.87278,                0.57697,                0.62832,                0.41997,                0.87419,                0.57824,                0.62677,                 0.4271,                  1.206,                 2.1102,                 1.1146,                 1.2331,             0.00049529,             0.00049529,             0.00049529
                     36,                0.97845,                 1.8985,                0.87772,                 1.0771,                0.60774,                0.62786,                0.59579,                0.39278,                0.60447,                0.62532,                0.58914,                0.39087,                 1.2141,                 2.0841,                 1.1593,                 1.2735,               0.000467,               0.000467,               0.000467
                     37,                0.97946,                 1.8899,                0.87353,                 1.0864,                0.74874,                0.44434,                0.58897,                0.41345,                0.75471,                0.44942,                0.59269,                0.39606,                 1.2118,                 2.0167,                 1.1612,                 1.2813,              0.0004387,              0.0004387,              0.0004387
                     38,                0.97273,                 1.8933,                0.86518,                 1.0786,                 0.8131,                0.45706,                0.57482,                0.38895,                0.81612,                0.45961,                0.57391,                0.39077,                 1.2027,                 1.9902,                 1.0599,                 1.2594,             0.00041041,             0.00041041,             0.00041041
                     39,                0.95135,                 1.8879,                   0.86,                 1.0711,                0.74335,                0.45452,                0.59234,                0.42719,                0.73915,                0.45833,                0.59037,                0.38275,                 1.1536,                 2.0538,                 1.0633,                 1.2172,             0.00038211,             0.00038211,             0.00038211
                     40,                0.96275,                 1.8175,                0.85794,                 1.0719,                0.68955,                0.45961,                0.54142,                0.38293,                0.69303,                0.45997,                0.54047,                0.36875,                 1.1825,                 2.0152,                 1.0789,                 1.2402,             0.00035382,             0.00035382,             0.00035382
                     41,                0.92613,                 1.7575,                 0.8097,                 1.0526,                0.74764,                0.45833,                0.53168,                0.37872,                0.77365,                0.45648,                0.53398,                0.35813,                 1.1319,                 2.0121,                 1.1377,                 1.2182,             0.00032553,             0.00032553,             0.00032553
                     42,                0.88572,                 1.7243,                0.73653,                 1.0354,                0.56491,                0.63748,                0.59331,                0.39574,                0.56446,                0.63577,                0.59246,                0.41565,                 1.1267,                  2.005,                 1.0799,                 1.2081,             0.00029723,             0.00029723,             0.00029723
                     43,                0.87773,                 1.6861,                0.73502,                 1.0385,                0.61247,                0.61117,                0.56645,                0.38577,                0.61154,                0.60633,                 0.5711,                0.40882,                 1.1603,                 2.0198,                 1.0392,                 1.2359,             0.00026894,             0.00026894,             0.00026894
                     44,                0.85616,                 1.6594,                0.71317,                 1.0254,                0.66652,                0.61623,                0.58349,                0.38353,                0.67143,                0.62097,                0.58454,                0.40656,                 1.1444,                 1.9733,                 1.0403,                  1.229,             0.00024064,             0.00024064,             0.00024064
                     45,                0.84807,                 1.6623,                0.70203,                 1.0214,                0.76589,                0.44307,                0.55467,                0.37426,                0.78502,                0.44816,                0.56151,                0.37957,                 1.1452,                 1.9642,                 1.0242,                 1.2187,             0.00021235,             0.00021235,             0.00021235
                     46,                0.82925,                 1.6253,                0.68509,                 1.0091,                0.57198,                0.64777,                0.59823,                0.42783,                0.57144,                0.64428,                0.60215,                0.43992,                 1.1496,                 1.9925,                 1.0332,                 1.2104,             0.00018406,             0.00018406,             0.00018406
                     47,                0.82251,                   1.61,                0.67228,                 1.0067,                0.87106,                0.58255,                0.63171,                0.44208,                0.87483,                 0.5842,                 0.6302,                0.45218,                 1.1484,                 1.9908,                 1.0277,                 1.2332,             0.00015576,             0.00015576,             0.00015576
                     48,                0.82152,                 1.5805,                0.66479,                 1.0074,                0.66883,                0.61514,                0.58106,                0.40965,                0.66883,                0.61514,                0.58226,                0.41585,                 1.1522,                 1.9951,                 1.0146,                 1.2167,             0.00012747,             0.00012747,             0.00012747
                     49,                 0.8015,                 1.5634,                0.64806,                0.99475,                0.66155,                0.63677,                0.61166,                0.42201,                0.65823,                0.63295,                0.60886,                0.42826,                 1.1303,                 2.0072,                 1.0111,                 1.2129,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.79974,                 1.5477,                0.64976,                 0.9966,                 0.6892,                0.60751,                0.58082,                0.40832,                 0.6936,                0.61132,                0.58356,                0.41461,                 1.1252,                 1.9828,                 1.0126,                 1.2083,             7.0878e-05,             7.0878e-05,             7.0878e-05
